Leslie L Lisdell	2401 W Main St		Henryetta	OK	74437				918.579.3627	Family Medicine	35.439707	-96.014677
Oklahoma Heart Institute-Henryetta Medical Center Specialty Clinic	2405 W Main		Henryetta	OK	74437				918.579.3627		35.439707	-96.014745
Utica Park Clinic	2617 S Elm Pl		Broken Arrow	OK	74012				918.579.3627		36.026141	-95.797427
Oklahoma Heart Institute-Specialty Clinic	300 Boulder St		Pawnee	OK	74058				918.579.3627	Specialty Clinic	36.330958	-96.799402
James Russell	308 S Main St		Sapulpa	Ok	74066				918.579.3627		35.994878	-96.114085
Oklahoma Heart Institute-Miami	310 Second Ave SW	Ste 103	Miami	OK	74354				918.579.3627		36.872217	-94.880983
Suresh A Bharani	3300 S Aspen Ave	Ste B	Broken Arrow	OK	74012				918.579.3627	Pediatrics	36.01942	-95.815356
Jack H Brown	401 E Broadway	Ste A	Sand Springs	OK	74063				918.579.3627	Family Practice	36.139935	-96.104697
Melinda Dandridge	410 E Main St		Jenks	OK	74037				918.579.3627	Pediatrics	36.022543	-95.965151
Utica Park Clinic	4739 S Union		Tulsa	OK	74107				918.579.3627		36.094567	-96.011612
William W Barnes	525 E Blue Starr Dr		Claremore	OK	74017				918.579.3627	Pediatrics	36.321784	-95.596339
Utica Park Clinic	550 W 121st St		Sapulpa	OK	74066				918.579.3627		35.988282	-96.012857
Oklahoma Heart Institute-Elliot Medical Plaza	562 S Elliot		Pryor	OK	74361-6411				918.579.3627		36.293601	-95.309876
Brian H. Lewis	615 E Main St		Jenks	OK	74037				918.579.3627	Family Medicine	36.022608	-95.963192
Bryan A. Lucenta	6151 S Yale Ave	Ste 303	Tulsa	OK	74136				918.579.3627	Cardiovascular Disease	36.074441	-95.922031
Luisa F Madronero	6151 S Yale Ave	Ste 402	Tulsa	OK	74136				918.579.3627	Pediatric Cardiology	36.074441	-95.922031
James A. Coman	6465 S Yale Ave	Ste 202	Tulsa	OK	74136				918.579.3627	Cardiovascular Disease	36.070421	-95.922058
Utica Park Clinic	6528 E 101st St	Ste I	Tulsa	OK	74133				918.579.3627		36.017294	-95.903746
Robert E Mitchell	6802 S Olympia Ave	Ste G113	Tulsa	OK 	74132				918.579.3627		36.065004	-96.00407
Oklahoma Heart Institute-Bristow Specialty Clinic	700 W 7th		Bristow	OK	74010				918.579.3627	Specialty Clinic	35.833902	-96.400778
Utica Park Clinic	701 E Main		Jenks	OK	74037				918.579.3627		36.023096	-95.961217
Oklahoma Heart Institute-Craig General Hospital	735 N. Foreman		Vinita	OK	74301-1422				918.579.3627		36.653211	-95.155826
Utica Park Clinic	7600 S Lewis Ave		Tulsa	OK	74136-6836				918.579.3627		36.053663	-95.957912
John Knippers	7711 E 11th St	Ste 111	Tulsa	OK	74133				918.579.3627	Pediatrics	36.148158	-95.890441
Lawrence Lieberman	7912 E 31st St	Ste 200	Tulsa	OK	74145				918.579.3627		36.117068	-95.886097
James R. Higgins	7912 E 31st St	Ste 320	Tulsa	OK	74145				918.579.3627	Cardiovascular Disease	36.117068	-95.886097
F David Kondos	8136 S Memorial Dr		Tulsa	OK	74133				918.579.3627	Family Medicine	36.045404	-95.886366
Utica Park Clinic	8136 S Memorial Dr		Tulsa	OK	74133				918.579.3627		36.045404	-95.886366
Douglas W. Holte	817 S Elm Pl	Ste A	Broken Arrow	OK	74012				918.579.3627	Family Medicine	36.044729	-95.797405
Hillcrest Hospital South	8801 S 101st E Ave		Tulsa	OK	74133				918.579.3627		36.035212	-95.864681
Christy D Mayfield	8801 S 101st E Ave	Ste 230	Tulsa	OK	74133				918.579.3627	Family Medicine	36.035212	-95.864681
Brent A Rubbs	8803 S 101st E Ave	Ste 270	Tulsa	OK	74136				918.579.3627		36.034918	-95.864564
John G. Ivanoff	8803 S 101st E Ave	Ste 100	Tulsa	OK	74133				918.579.3627	Cardiovascular Disease	36.034918	-95.864564
Steven T Rippy	8803 S 101st E Ave	Ste 200	Tulsa	OK	74133				918.579.3627	Pediatrics	36.034918	-95.864564
Alaa A Alrabbat	8803 S 101st E Ave	Ste 395	Tulsa	OK	74133				918.579.3627	Pulmonary Disease Medicine / Sleep Medicine	36.034918	-95.864564
Susan C Willard	9001 S 101st E Ave	Ste  200	Tulsa	OK	74133				918.579.3627		36.0332	-95.864608
Gerald Seefeldt	9001 S 101st E Ave	Ste  270	Tulsa	OK	74133				918.579.3627	Family Medicine	36.0332	-95.864608
Jesse D Geren	9001 S 101st E Ave	Ste  370	Tulsa	OK	74133				918.579.3627	Family Medicine	36.0332	-95.864608
Gary L Postelwait	9001 S 101st E Ave	Ste 230	Tulsa	OK	74133				918.579.3627	Family Medicine	36.0332	-95.864608
John D Jennings	9001 S 101st E Ave	Ste 350	Tulsa	OK	74133				918.579.3627		36.0332	-95.864608
Oklahoma Heart Institute-SouthPointe	9228 S Mingo Rd		Tulsa	OK	74133				918.579.3627		36.02877	-95.868536
Yohanan Zomer	9228 S Mingo Rd	Ste 100	Tulsa	OK	74133				918.579.3627	Pediatrics	36.02877	-95.868536
Edward Martin	9228 S Mingo Rd	Ste 200	Tulsa	OK	74133				918.579.3627	Cardiovascular Disease	36.02877	-95.868536
Utica Park Clinic	9245 S Mingo Rd		Tulsa	OK	74133-5793				918.579.3627		36.02888	-95.868468
Utica Park Clinic	9425 S Mingo		Tulsa	OK	74133				918.579.3627		36.026987	-95.868432
Hillcrest Hospital Henryetta	Dewey Bartlett & Main		Henryetta	OK	74437				918.579.3627		35.439808	-96.006732
East Tulsa Family Health Center	11511 East 21st Street		Tulsa	OK	74129				918.579.3627		36.133568	-95.847761
Midtown Family Health Center	102 North Denver	Ste B	Tulsa	OK	74103				918.579.3627		36.156102	-95.996768
Morton Comprehensive Health Services	1334 North Lansing Avenue		Tulsa	OK	74106				918.579.3627		36.173651	-95.980726
Nowata Family Health Center	207 South Locust Street		Nowata	OK	74078				918.579.3627		36.697779	-95.630373
OSU Health Care Center	2345 Southwest Blvd		Tulsa	OK	74107				918.579.3627		36.128301	-96.006948
OSU Physicians – Eastgate Metroplex	14002 E 21st St	Ste 1130	Tulsa	OK	74134				918.579.3627	Family Medicine	36.133383	-95.818252
OSU Physicians – Physicians Office Building	802 S Jackson Ave		Tulsa	OK	74127				918.579.3627		36.146885	-95.999319
Bedlam Clinic	1111 S St Louis Ave		Tulsa	OK	74120-5440				918.579.3627	Clinic	36.14754	-95.970957
Central Clinic	2601 E 5th Place		Tulsa	Ok	74104-2905				918.579.3627	Clinic	36.152757	-95.953659
East Side Clinic	13702 E 46th Place So		Tulsa	OK	74134-5919				918.579.3627	Clinic	36.097057	-95.815786
East Side Clinic	3365 S 103rd E Ave		Tulsa	OK					918.579.3627	Clinic	36.115748	-95.860834
West Side Clinic	1701 E Park Road		Sand Springs 	OK	74063				918.579.3627	Clinic	36.143248	-96.08411
Cedar Ridge Family Clinic	10016-A S Mingo Rd		Tulsa	OK	74133				918.579.3627	Family Medicine	36.018661	-95.868589
Eastern Oklahoma Medical Clinic	10125 S Sheridan	Ste G	Tulsa	OK	74133				918.579.3627	Famiy Medicine	36.016495	-95.904163
Saint Francis Hospital South	10501 East 91st Street So		Tulsa	OK	74133				918.579.3627	Family Medicine	36.031918	-95.856921
Warren Clinic - Family Medicine	10505 E 91st St	Ste 250	Tulsa	OK	74133				918.579.3627	Family Medicine	36.031946	-95.856857
D. Price Kraft, MD	10507 E 91st St 	Ste 210	Tulsa	OK	74133				918.579.3627	Family Medicine	36.031946	-95.856847
Pat S Bolding, MD	10507 E 91st St 	Ste 310	Tulsa	OK	74133				918.579.3627	Family Medicine	36.031946	-95.856847
Kaveh Kermanshahi, MD	10507 E 91st St 	Ste 310	Tulsa	OK	74133				918.579.3627	Family Medicine	36.031946	-95.856847
Sherri L Thomas, MD	10507 E 91st St 	Ste 310	Tulsa	OK	74133				918.579.3627	Family Medicine	36.031946	-95.856847
Melinda L Shitten, APRN-CNP, DNP	10507 E 91st St 	Ste 310	Tulsa	OK	74133				918.579.3627	Family Medicine	36.031946	-95.856847
Warren Clinic	10507 E 91st St 		Tulsa	OK	74133				918.579.3627	Family Medicine	36.031946	-95.856847
Utica Park Clinic of Owasso	10512 N 110th E Ave		Owasso	OK	74055				918.579.3627	Pediatrics	36.304942	-95.851533
Xavier Medical Clinic	10711 E 11th Street		Tulsa	OK 	74115				918.579.3627		36.148117	-95.857011
Oklahoma Oncology, Inc	11212 East 48th Street		Tulsa	OK	74146				918.579.3627		36.09299	-95.851051
Nephrology Specialists of Oklahoma	1124 South St. Louis Avenue	2nd Floor	Tulsa	OK	74120				918.579.3627		36.146701	-95.971036
Warren Clinic	11911 S Memorial		Bixby	OK	74008				918.579.3627	Family Medicine	35.99132	-95.886434
Owasso Pediatric & Adolescent Medicine	12455 E 100 St No	Ste 300	Owasso	OK	74055				918.579.3627	Pediatrics	36.298762	-95.8349
Owasso Pediatric & Adolescent Medicine	12455 E 100 St No	Ste 280	Owasso	OK	74055				918.579.3627	Pediatrics	36.298762	-95.8349
Oklahoma Heart Institute	1265 S Utica Ave	Ste 300	Tulsa	OK	74104				918.579.3627		36.14534	-95.967053
Armstrong Medical Clinic	12702 E 86th St North		Owasso	OK	74055				918.579.3627		36.278543	-95.832672
Warren Clinic Owasso	13600 E 86th St North	Ste 400	Owasso	OK	74055				918.579.3627	Family Medicine	36.278503	-95.823915
King's Court Framily Medicine, PLLC	1615 S Eucalypus Ave	Ste 211	Broken Arrow	OK	74012				918.579.3627	Family Medicine	36.038341	-95.84991
Cardiovascular Consultants	1727 S Cheyenne Ave		Tulsa	OK	74119				918.579.3627		36.136891	-95.989538
Warren Clinic - Stillwater	1815 W 6th Ave		Stillwater	OK	74074				918.579.3627	Family Medicine	36.115844	-97.08117
Tulsa Pediatric & Adolescent Medicine	1919 S Wheeling Ave	Ste 304	Tulsa	OK	74104				918.579.3627	Pediatrics	36.1343	-95.964597
St John Cardiovascular Surgery	1919 S Wheeling Ave	Ste 602	Tulsa	OK	74104				918.579.3627		36.1343	-95.964597
Pediatric and Adolescente Care	2000 S Wheeling	Ste 300	Tulsa	OK	74104				918.579.3627	Pediatrics	36.133572	-95.964676
OSU Health Care Center 	2345 Southwest Blvd		Tulsa	OK	74107				918.579.3627	Famiy Medicine	36.128301	-96.006948
Warren Clinic	2605 West Main		Jenks	OK	74037				918.579.3627	Family Medicine	36.024698	-96.004301
Utica Park Clinic Broken Arrow	2617 S Elm Pl		Broken Arrow	OK	74012				918.579.3627	Pediatrics	36.026141	-95.797427
Lab Medicine of Greater Tulsa, PC	2738 E 51st St	Ste 290	Tulsa	OK	74105				918.579.3627	Pathology/Anatomic & Clinical	36.089773	-95.949502
Warren Clinic Urgent Care Center	2950 S Elm Pl	Ste 120	Broken Arrow	OK	74012				918.579.3627	Family Medicine	36.02155	-95.797485
Alhang Sanyo Koyak, MD/Daniel L Nicoll, DO/Matthew Bret Stevens, MD	2950 S Elm Pl	Ste 152	Broken Arrow	OK	74012				918.579.3627	Family Medicine/OB	36.02155	-95.797485
Robert Francis Villareal, MD	2950 S Elm Pl	Ste 160	Broken Arrow	OK	74012				918.579.3627	Family Medicine	36.02155	-95.797485
Daniel Marcus Studdard, DO	2950 S Elm Pl	Ste 260	Broken Arrow	OK	74012				918.579.3627	Family Medicine	36.02155	-95.797485
Saint Francis Broken Arrow	3000 South Elm Place		Broken Arrow	OK	74012				918.579.3627		36.021625	-95.796815
Warren Clinic Coweta	30011 E State Hwy 51		Coweta	OK	74429				918.579.3627	Pediatrics/Family Medicine	35.951895	-95.614683
Allison Heather Thompson, MD	3022 E 115th St		Tulsa	OK	74137				918.579.3627	Pediatrics	35.997804	-95.936907
Family Medical  Association/BA	3100 S Elm Pl	Ste A	Broken Arrow	OK	74012				918.579.3627	Family Medicine	36.020531	-95.797485
James M. Ritze, DO	3100 S Elm Pl	Ste C	Broken Arrow	OK	74012				918.579.3627	Family Medicine	36.020531	-95.797485
All Saints Home Medical Equipment	3218 South 79th East Avenue	Ste 100	Tulsa	OK	74145				918.579.3627		36.115052	-95.891873
Warren Clinic Interchange Plaza	3218 South 79th East Avenue	Ste 300	Tulsa	OK	74145				918.579.3627	Family Medicine	36.115052	-95.891873
Cardiology Clinic of Muskogee	350 S 40th St		Muskogee	OK	74401				918.579.3627		35.752795	-95.411543
Milestones Pediatric Care	3845 S 103 E Ave	Ste 102	Tulsa	OK	74146				918.579.3627	Pediatrics	36.1076	-95.86149
Eye Care for Tulsa	3906 S Peoria		Tulsa	OK	74105				918.579.3627		36.105992	-95.975786
Warren Clinic Family Medicine	3910 E 51st Street		Tulsa	OK	74135				918.579.3627	Family Medicine	36.089813	-95.932161
The Jenks House Pediatrics	410 E Main St		Jenks	OK	74037				918.579.3627	Pediatrics	36.022543	-95.965151
Tulsa Eye Center, PLLC	4415 South Harvard Ave	Ste 120	Tulsa	OK	74135				918.579.3627		36.10125	-95.940107
OU College of Medicine Dept of Pediatric	4444 E 41st St		Tulsa	OK	74135				918.579.3627	Pediatrics	36.104128	-95.927722
OU College of Medicine 	4502 E 41st St	Ste 2A-31	Tulsa	Ok	74135				918.579.3627	Pediatrics	36.104324	-95.926761
Barry Don Troutman, DO	4619 S Harvard	Ste 201	Tulsa	OK	74135				918.579.3627	Family Medicine	36.096471	-95.940128
Tulsa Colon & Rectal Surgery	4735 E 91st St	Ste 200	Tulsa	OK	74137				918.579.3627		36.031927	-95.924032
Eastern Oklahoma Orthopedic Center	504 E Blue Starr		Claremore	OK	74017				918.579.3627	Family/Sports Medicine	36.321878	-95.595502
Newborn Specialists of Tulsa	6151 South Yale Ave		Tulsa	OK	74136				918.579.3627	Pediatrics	36.074441	-95.922031
Vein Care Center of Oklahoma	6151 South Yale Ave	Ste 1-302	Tulsa	OK	74136				918.579.3627		36.074441	-95.922031
Warren Clinic Pediatric Infectious Disease	6151 South Yale Ave	Ste 1303	Tulsa	OK	74136				918.579.3627	Pediatrics	36.074441	-95.922031
Warren Clinic Cardiology	6151 South Yale Ave	Ste 1304	Tulsa	OK	74136				918.579.3627		36.074441	-95.922031
Warren Clinic Pediatric Surgery	6151 South Yale Ave	Ste 1305	Tulsa	OK	74136				918.579.3627	Pediatrics	36.074441	-95.922031
Pediatric Cardiology of Oklahoma	6151 South Yale Ave	Ste 2402	Tulsa	OK	74136				918.579.3627	Pediatrics	36.074441	-95.922031
Warren Clinic Pediatric Pulmonology	6151 South Yale Ave	Ste 1307	Tulsa	OK	74136				918.579.3627	Pediatrics	36.074441	-95.922031
Pediatric Cardiology of Oklahoma	6151 South Yale Ave	Ste 2402	Tulsa	OK	74136				918.579.3627		36.074441	-95.922031
Warren Clinic Pediatric Thoracic Surgery	6151 South Yale Ave	Ste 2403	Tulsa	OK	74136				918.579.3627		36.074441	-95.922031
Newborn Specialists of Tulsa, Inc.	6151 South Yale Ave	Level B	Tulsa	OK	74136				918.579.3627		36.074441	-95.922031
Warren Clinic Thoracic/CV Surgery	6151 South Yale Ave	Ste 1-301	Tulsa	OK	74136				918.579.3627		36.074441	-95.922031
EMP of Tulsa	6160 South Yale Ave		Tulsa	OK	74136				918.579.3627	Pediatrics	36.07193	-95.922275
Warren Clinic Podiatry	6160 South Yale Ave		Tulsa	OK	74136				918.579.3627		36.07193	-95.922275
EMP of Tulsa	6161 South Yale Ave		Tulsa	OK	74136				918.579.3627	Pediatrics	36.074284	-95.922033
Saint Francis Heart Hospital	6161 South Yale Ave		Tulsa	OK	74136				918.579.3627		36.074284	-95.922033
Saint Francis Hospital	6161 South Yale Ave		Tulsa	OK	74136				918.579.3627		36.074284	-95.922033
The Children's Hospital at Saint Francis	6161 South Yale Ave		Tulsa	OK	74136				918.579.3627		36.074284	-95.922033
Warren Clinic 	6161 South Yale Ave		Tulsa	OK	74136				918.579.3627		36.074284	-95.922033
OSU Health Care Center, Pediatrics	635 W 11th St		Tulsa	OK	74127				918.579.3627	Pediatrics	36.145948	-95.997422
Heart Rhythm Institute of Oklahoma	6465 S. Yale Ave	Ste 202	Tulsa	OK	74136				918.579.3627		36.070421	-95.922058
G Kevin Donovan	6465 S. Yale Ave	Ste 304	Tulsa	OK	74136				918.579.3627	Pediatrics	36.070421	-95.922058
Janet Jones, MD	6465 S. Yale Ave	Ste 408	Tulsa	OK	74136				918.579.3627	Pediatrics	36.070421	-95.922058
Jere Cravens, MD	6465 S. Yale Ave	Ste 414	Tulsa	OK	74136				918.579.3627	Pediatrics	36.070421	-95.922058
Nephrology Specialists of Oklahoma-Yale 	6465 S. Yale Ave	Ste 507	Tulsa	OK	74136				918.579.3627		36.070421	-95.922058
Warren Clinic Pediatrics	6465 S. Yale Ave	Ste 704	Tulsa	OK	74136				918.579.3627	Pediatrics	36.070421	-95.922058
Surgical Associates	6465 S. Yale Ave	Ste 900	Tulsa	OK	74136				918.579.3627		36.070421	-95.922058
Warren Orthopedic Institute	6475 S. Yale Ave	Ste 202	Tulsa	OK	74136				918.579.3627	Family Medicine	36.070321	-95.92202
Eastern Oklahoma Orthopedic Center	6475 S. Yale Ave	Ste 301	Tulsa	OK	74136				918.579.3627	Family Medicine	36.070321	-95.92202
Tulsa Medical Laboratory	6565 S. Yale		Tulsa	OK	74136				918.579.3627	Pathology/Anatomic	36.069691	-95.922058
Warren Clinic Pediatric Neurology	6585 S Yale Ave	Ste 902	Tulsa	OK	74136				918.579.3627	Pediatrics	36.068518	-95.92202
Saint Francis Hospice	6600 S Yale Ave	Ste 350	Tulsa	OK	74136				918.579.3627	Family Medicine	36.06724	-95.922256
Warren Clinic	6600 S Yale Ave		Tulsa	OK	74133				918.579.3627		36.06724	-95.922256
Laureate Psychiatric Clinic and Hospital	6655 S Yale Ave		Tulsa	OK	74136				918.579.3627		36.066553	-95.922002
Oklahoma Spine & Brain Institute	6802 S Olympia Ave	Ste 300	Tulsa	OK	74132				918.579.3627		36.065004	-96.00407
Utica Park Clinic	701 E Main		Jenks	OK	74037				918.579.3627	Pediatrics	36.023096	-95.961217
OSU Physicians Houston Center	717 S Houston		Tulsa	OK	74127				918.579.3627		36.147451	-95.997987
South Tulsa Pediatrics	7512 E 91st St.		Tulsa	OK	74133				918.579.3627	Pediatrics	36.031805	-95.892457
KIDS Pediatric and Adolescent Care	7711 E 111th St	Ste 111	Tulsa	OK	74133				918.579.3627	Pediatrics	36.002841	-95.914527
Tulsa Pediatric Urgent Care	7723 E 91st St		Tulsa	OK	74133				918.579.3627	Pediatrics	36.031915	-95.889591
Harvard Family Physicians	7912 E 31st Ct		Tulsa	OK	74145				918.579.3627	Family Medicine	36.117068	-95.886097
Heart Institute of Tulsa	802 S Jackson	Ste 200	Tulsa	OK	74127				918.579.3627		36.146885	-95.999319
OSU Physicians 	802 S Jackson	Ste 420	Tulsa	OK	74127				918.579.3627	Family Medicine	36.146885	-95.999319
Breathe ASAP	817 S Elm Pl	Ste 105	Broken Arrow	OK	74012				918.579.3627		36.044729	-95.797405
Nidhi Koul, MD	8315 E 111th St So	Ste D	Bixby	OK	74008				918.579.3627	Pediatrics	36.002887	-95.883088
Warren Clinic - Memorial  South	8414 E 101st St		Tulsa	OK	74133				918.579.3627	Family Medicine	36.017323	-95.882891
Children's Clinic of Owasso	8439 N 117th E Ave		Owasso	OK	74055				918.579.3627	Pediatrics	36.277043	-95.843905
Southbrook Family Physicians	8801 S 101st E Ave 	Ste 130	Tulsa	OK	74133				918.579.3627		36.035212	-95.864681
Tulsa Lung Center	8803 S 101st E Ave	Ste 395	Tulsa	OK	74133				918.579.3627		36.034918	-95.864564
Children and Adolescent Medical Services	8803 S 101st E Ave	Ste 200	Tulsa	OK	74133				918.579.3627	Pediatrics	36.034918	-95.864564
Utica Park Clinic South Tulsa	9425 So Mingo Rd		Tulsa	OK	74133				918.579.3627	Pediatrics	36.026987	-95.868432
Broken Arrow Urgent Care	PO Box 140728		Broken Arrow	OK	74014				918.579.3627	Family Medicine	36.062657	-95.776322
Catoosa Family Clinic	PO Box 519		Catoosa	OK	74015				918.579.3627	Family Medicine	36.179524	-95.749158
Jane Phillips Medical Center	3500 SE Frank Phillips Blvd		Bartlesville	OK	74006				918.579.3627		36.750724	-95.938269
Omni Medical Group	1021 East Bryan		Sapulpa	OK	74066				918.579.3627		35.993426	-96.100545
Omni Medical Group	13134 South Highway 169		Oologah	OK	74053				918.579.3627		36.423006	-95.719785
Omni Medical Group	13600 East 86th St. N	Ste 100	Owasso	OK	74055				918.579.3627		36.278503	-95.823915
Omni Medical Group	1501 West Rogers Blvd		Skiatook	OK	74070				918.579.3627		36.368542	-95.998829
Omni Medical Group	1919 S. Wheeling Ave		Tulsa	OK	74104				918.579.3627		36.1343	-95.964597
Omni Medical Group	3100 Medical Parkway	Ste 100	Claremore	OK	74017				918.579.3627		36.33826	-95.59826
Omni Medical Group	402 West Morrow Road		Sand Springs	OK	74063				918.579.3627		36.133578	-96.118594
Omni Medical Group	4720 S Harvard		Tulsa	OK	74135				918.579.3627		36.094591	-95.940185
Omni Medical Group	800 W Boise Circle	Ste 160	Broken Arrow	OK	74012				918.579.3627		36.077965	-95.800874
Omni Medical Group	8115 South Memorial		Tulsa	OK	74133				918.579.3627		36.04551	-95.886047
St. John - Broken Arrow	1000 West Boise Circle		Broken Arrow	OK	74012				918.579.3627		36.077965	-95.800874
St. John - Owasso	12451 E 100th Street North		Owasso	OK	74055				918.579.3627		36.298436	-95.834455
St. John - Sapulpa	1004 E Bryan		Sapulpa	OK	74067				918.579.3627		35.993316	-96.100887
St. John Medical Center	1923 S Utica Ave		Tulsa	OK	74104				918.579.3627		36.13427	-95.967198
